LogS,LogD,LogP,Pgp-inh,Pgp-sub,HIA,F(20),F(30),Caco-2,MDCK,BBB,PPB,VDss,Fu,CYP1A2-inh,CYP1A2-sub,CYP2C19-inh,CYP2C19-sub,CYP2C9-inh,CYP2C9-sub,CYP2D6-inh,CYP2D6-sub,CYP3A4-inh,CYP3A4-sub,CL,T12,hERG,H-HT,DILI,Ames,ROA,FDAMDD,SkinSen,Carcinogenicity,EC,EI,Respiratory,BCF,IGC50,LC50,LC50DM,NR-AR,NR-AR-LBD,NR-AhR,NR-Aromatase,NR-ER,NR-ER-LBD,NR-PPAR-gamma,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53,MW,Vol,Dense,nHA,nHD,TPSA,nRot,nRing,MaxRing,nHet,fChar,nRig,Flex,nStereo,NonBiodegradable,NonGenotoxic_Carcinogenicity,SureChEMBL,LD50_oral,Skin_Sensitization,Acute_Aquatic_Toxicity,Toxicophores,Genotoxic_Carcinogenicity_Mutagenicity,QED,Synth,Fsp3,MCE-18,Natural Product-likeness,Alarm_NMR,BMS,Chelating,PAINS,Lipinski,Pfizer,GSK,GoldenTriangle
-4.372,2.518,3.766,1,0.997,0.098,0.995,0.997,-5.461,5.35E-05,0.137,94.57,0.907,6.78,0.009,0.022,0.099,0.066,0.71,0.036,0.021,0.058,0.79,0.693,3.416,0.028,0.28,0.924,0.94,0.006,0.491,0.857,0.066,0.027,0.003,0.005,0.955,0.404,4.076,4.906,6.808,0.243,0.965,0.035,0.83,0.647,0.681,0.972,0.868,0.95,0.411,0.981,0.995,853.33,853.449,1,15,4,221.29,15,7,16,15,0,44,0.341,11,2,0,0,0,6,2,1,1,0.168,6.029,0.447,175.882,1.622,1,0,0,0,0,1,0,0
-4.869,3.291,4.827,0.997,0.999,0.009,0.319,0.958,-5.32,2.64E-05,0.024,93.94,1.718,7.01,0.002,0.078,0.209,0.589,0.168,0.007,0.015,0.184,0.829,0.854,4.152,0.004,0.882,0.908,0.887,0.422,0.632,0.908,0.06,0.043,0.003,0.004,0.958,1.375,4.557,6.778,7.23,0,0.843,0.019,0.84,0.431,0.442,0.974,0.728,0.689,0.899,0.94,0.998,867.4,851.678,1.018,15,4,193.23,17,8,19,16,0,41,0.415,12,2,0,0,0,3,1,3,1,0.126,6.452,0.689,194.526,1.256,1,0,0,0,0,1,0,0
-4.675,3.401,4.981,0.996,0.999,0.01,0.966,0.975,-5.38,4.58E-05,0.057,92.47,2.236,7.37,0.002,0.057,0.155,0.338,0.842,0.027,0.046,0.115,0.919,0.907,5.442,0.003,0.808,0.958,0.974,0.337,0.364,0.109,0.058,0.035,0.003,0.005,0.769,0.745,4.636,7.319,7.219,0.003,0.982,0.045,0.797,0.803,0.572,0.986,0.907,0.955,0.691,0.961,0.999,923.42,923.996,0.999,16,3,201.51,15,9,19,16,0,52,0.288,12,2,0,0,0,3,0,1,0,0.138,6.433,0.549,208.861,1.079,0,0,0,0,0,1,0,0
-4.081,2.512,3.808,1,0.958,0.04,0.825,0.992,-5.438,5.04E-05,0.105,95.11,0.736,6.48,0.022,0.016,0.141,0.059,0.756,0.038,0.044,0.059,0.714,0.327,1.947,0.035,0.09,0.802,0.978,0.009,0.169,0.025,0.042,0.096,0.003,0.006,0.285,0.4,3.848,5.089,6.217,0.85,0.887,0.016,0.861,0.713,0.562,0.656,0.612,0.626,0.045,0.953,0.977,853.33,853.449,1,15,4,221.29,15,7,16,15,0,44,0.341,12,2,0,0,0,6,2,1,1,0.168,6.18,0.447,172.5,1.271,1,0,0,0,0,1,0,0
-4.391,3.215,4.611,1,0.995,0.621,1,0.999,-5.288,7.65E-05,0.054,82.18,0.555,13.7,0.003,0.042,0.345,0.672,0.8,0.092,0.801,0.151,0.918,0.909,9.001,0.002,0.464,0.825,0.741,0.057,0.843,0.113,0.235,0.144,0.003,0.003,0.949,0.537,4.241,5.539,6.638,0.006,0.481,0.013,0.798,0.519,0.964,0.97,0.891,0.693,0.94,0.943,0.998,1003.42,977.582,1.026,18,3,233.84,22,6,16,20,0,39,0.564,10,3,1,1,2,8,5,5,3,0.072,6.516,0.694,180.711,1.195,1,2,0,0,0,1,0,0
-4.815,3.123,4.449,0.997,0.999,0.012,0.969,0.95,-5.443,6.32E-05,0.038,84.02,1.069,12.66,0.001,0.087,0.052,0.631,0.062,0.012,0.014,0.138,0.808,0.917,4.821,0.006,0.811,0.91,0.941,0.689,0.521,0.239,0.055,0.031,0.003,0.004,0.83,1.189,4.284,7.204,7.188,0,0.907,0.037,0.805,0.802,0.686,0.989,0.866,0.72,0.883,0.947,0.998,897.41,877.764,1.022,16,3,193.67,16,8,19,17,0,44,0.364,12,2,0,0,0,3,1,3,1,0.161,6.528,0.696,195.282,0.987,1,0,0,0,0,1,0,0
-4.114,2.948,4.456,1,0.979,0.058,0.953,0.998,-5.369,8.15E-05,0.134,89.91,1.632,7.37,0.004,0.059,0.078,0.527,0.471,0.013,0.073,0.063,0.883,0.895,8.682,0.013,0.434,0.908,0.965,0.02,0.748,0.219,0.053,0.033,0.003,0.004,0.97,0.593,4.287,5.017,7.107,0.082,0.838,0.019,0.828,0.578,0.748,0.974,0.789,0.798,0.503,0.974,0.995,835.38,837.959,0.997,15,3,202.45,16,6,16,15,0,37,0.432,11,3,0,0,0,5,3,3,2,0.218,6.118,0.578,168.31,1.622,1,0,0,0,0,1,0,0
-4.849,3.733,5.823,1,0.998,0.004,0.745,0.957,-5.281,6.42E-05,0.055,91.86,2.107,7.72,0.002,0.062,0.234,0.652,0.808,0.024,0.135,0.145,0.935,0.916,8.287,0.003,0.676,0.935,0.956,0.882,0.682,0.055,0.08,0.04,0.003,0.004,0.299,0.746,4.73,7.19,7.203,0.002,0.936,0.03,0.787,0.846,0.658,0.983,0.872,0.784,0.641,0.965,0.999,918.45,920.96,0.997,16,3,197.85,16,8,19,16,0,46,0.348,12,2,0,0,0,3,1,2,1,0.16,6.449,0.64,204.341,1.212,0,0,0,0,0,1,0,0
-4.829,3.173,4.645,0.998,0.999,0.011,0.676,0.956,-5.401,0.0001007230821,0.024,86,1.76,12.98,0.002,0.106,0.07,0.831,0.134,0.011,0.01,0.42,0.827,0.919,5.528,0.005,0.853,0.821,0.919,0.267,0.669,0.494,0.085,0.057,0.003,0.004,0.971,1.559,4.677,7.214,7.335,0.001,0.722,0.016,0.82,0.275,0.297,0.967,0.51,0.574,0.847,0.953,0.997,855.4,842.938,1.015,15,3,184.44,16,7,19,16,0,38,0.421,12,3,0,0,0,4,1,2,1,0.158,6.447,0.682,180.486,1.237,1,0,0,0,0,1,0,0
-3.589,3.727,6.724,1,0.195,0.012,0.97,0.995,-5.358,2.65E-05,0.01,110.28,0.687,0.42,0.082,0.026,0.619,0.057,0.964,0.063,0.265,0.022,0.919,0.83,2.604,0.012,0.618,0.923,0.981,0.005,0.943,0.89,0.042,0.1,0.003,0.004,0.605,1.159,5.664,6.087,7.348,0.649,0.972,0.151,0.882,0.923,0.88,0.988,0.928,0.682,0.124,0.984,0.988,1016.4,1049.028,0.969,14,2,206.1,19,9,16,14,0,57,0.333,9,2,0,0,0,6,4,2,1,0.058,6.175,0.361,202.108,1.342,1,0,0,0,0,1,0,0
