Num Aliphatic Carbocycles,Num Heteroatoms,Num Hydrogen Bond Acceptor,Num Aromatic Carbocycles,LogP,Num Rotatable Bonds,Num Aromatic Heterocycles,Num Lipinski HB Donor,Num Atoms,Num Lipinski HB Acceptor,Num Rings,Num Hydrogen bond Donor,Num Aliphatic Rings,Num Aliphatic Heterocycles,Num Heterocycles,Mol Wt,Labute ASA,Num Aromatic Rings,Topological Polar SA
0.3691913127,-0.5681983261,-0.64859643,-1.009217121,-0.4327855946,-0.4873299569,0.8885909502,-0.5356017371,-0.3682792726,-0.542210315,0.2295505279,-0.4708826113,0.509218825,0.3293041618,0.77105314,-0.3854652789,-0.345991423,-0.3086078418,-0.6940700738
-0.4655686028,-1.333116632,-1.176044197,0.03114083057,0.1359727324,-0.8757229167,-0.577763269,-0.5356017371,-1.311061806,-1.164358646,-0.924901743,-0.4708826113,-0.8277358126,-0.7014241612,-0.895235956,-1.347796578,-1.384870141,-0.3086078418,-1.006260441
-0.4655686028,0.5791791325,1.46119464,-1.009217121,-1.644782506,-0.09893699709,-0.577763269,1.566268231,-0.2232358059,0.9094691242,-0.3476756076,2.127020057,0.509218825,1.360032485,0.77105314,-0.2442241524,-0.3856101965,-1.15624381,1.099469803
-0.4655686028,0.1967199797,0.1425752212,-1.009217121,-0.1633024825,-0.4873299569,0.8885909502,-0.5356017371,-0.658366206,0.4947035702,-0.3476756076,-0.4708826113,-0.1592584938,0.3293041618,0.77105314,-0.7349658713,-0.8325270546,-0.3086078418,0.2104113397
-0.4655686028,-0.5681983261,-0.64859643,-1.009217121,-0.3174089054,-0.4873299569,-0.577763269,-0.2353345989,-1.166018339,-0.542210315,-1.502127878,0.271375294,-0.8277358126,-0.7014241612,-0.895235956,-1.088606192,-1.196482567,-1.15624381,-0.4320042957
-0.4655686028,0.005490403233,0.1425752212,1.071498783,0.6884808216,0.8720454024,-0.577763269,0.6654668158,0.5745032609,0.2873207931,-0.3476756076,1.013633199,-0.8277358126,-0.7014241612,-0.895235956,0.3835293803,0.4717425042,0.5390281263,0.4651387785
-0.4655686028,0.770408709,-0.1211486625,0.03114083057,0.03901297955,-0.6815264368,-0.577763269,0.3651996776,-0.440801006,0.07993801607,-0.3476756076,0.271375294,-0.1592584938,0.3293041618,-0.06209140798,-0.07077989814,-0.3906159583,-0.3086078418,0.2142670773
-0.4655686028,-0.9506574789,-0.9123203137,-1.009217121,0.02790865031,-0.8757229167,0.8885909502,-0.5356017371,-1.238540073,-0.7495930921,-0.924901743,-0.4708826113,-0.8277358126,-0.7014241612,-0.06209140798,-1.277194875,-1.343590919,-0.3086078418,-0.6336220585
-0.4655686028,0.1967199797,-0.1211486625,0.03114083057,-0.01515448017,-0.293133477,-0.577763269,0.3651996776,-0.1507140726,0.07993801607,0.2295505279,0.271375294,0.509218825,1.360032485,0.77105314,-0.1267133834,-0.1910814081,-0.3086078418,0.1442419074
-0.4655686028,0.1967199797,0.1425752212,1.071498783,0.5479162636,-0.09893699709,0.8885909502,-0.2353345989,0.5745032609,0.4947035702,1.384002799,-0.4708826113,0.509218825,1.360032485,1.604197688,0.3077789484,0.4179000416,1.386664094,0.1197393168
