,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35
BBB,-0.026525233410166753,-0.0875491463880487,-0.20930649967463036,-0.11210970876125868,0.0074400388386077765,-0.04343127893068313,0.11033507767456613,-0.14638323142773824,-0.1474103767736277,0.022235714312374116,0.03870000597333173,-0.20288463074642615,-0.127053523705888,0.04195247147437714,0.014632133431850311,-0.0016821992864771082,-0.14956516994735625,-0.009289974772192663,-0.15301740204570216,-0.20867654529662968,0.06746049774484825,-0.13281785131622906,0.152516175646208,-0.20881657062467174,0.0153830218966612,-0.08783646809179468,-0.08723440448333111,-0.01530822422226047,-0.20908702821415315,0.012134209250596079,0.07436886936451519,0.12517200277203538,0.0020194764585073285,-0.12078628365512355,-0.02171545877561877
PPB,0.011054782885502148,-0.21392873379150384,0.04424890862831777,0.13271800120933785,-0.01757844027107669,0.057553678573713574,0.14131097885439983,0.12289607031845623,0.16614428483705063,0.11422954993119627,-0.032129422584090184,0.05246570950832802,-0.16915835602705942,-0.15615527233472087,0.013597483884141167,0.10301167952290276,0.0741404475687178,-0.036161227301292564,-0.14908423273092392,0.03252029808776638,-0.03402598714138589,-0.04941161756124625,-0.07997610735405974,0.09770964270620242,-0.11289170461192907,-0.029545145309394547,-0.021995486143470397,0.10510890807893992,0.015075264825534646,-0.047203613458214846,-0.028231507627789636,-0.1086297137464099,-0.03755049607724999,-0.17859926506079218,-0.000979535447720753
VDss,-0.042376353412845874,-0.12880305465106345,0.10346110237490597,-0.20016442556703207,0.22305436610339552,-0.012025062158721456,-0.023961740253533065,-0.14546003812144356,-0.08382395933274861,-0.06590007633558323,0.014637639165888616,0.08922999787513855,-0.09063676930278661,-0.11467921493604351,0.0881068423315998,0.15057819578340337,0.04777134513245787,-0.02765872290242425,-0.06820817923111537,-0.04224303848888697,0.02277817696714382,0.04216449399225122,-0.01599627088134777,-0.02119613907448834,0.02874845342732399,-0.027951124060571958,-0.2024947814641403,-0.03691989292857081,-0.02152825164521198,0.0716746718161142,0.007742761308942783,0.008857156811689706,-0.1606255443156141,0.06407733093851373,0.10476946321852706
Fu,-0.06576496595035815,0.18404101273612658,0.02247266391392672,-0.14426759647819498,0.0009825980865078854,-0.13404628822774622,-0.12449995826102622,-0.07719269565526657,-0.19835216813815204,-0.11409293450206909,0.06796121432972513,0.012051101825925448,0.17636223165516504,0.1476354869711412,-0.0050280717622059505,-0.09446134259475333,-0.09240361416059058,0.029482138770402958,0.15040704433873442,0.014296456329778752,-0.020480692892286184,0.007764980463768008,-0.00798392315369504,-0.07484503115298662,0.045247553818318687,0.1147087753855217,0.03269180629935062,-0.06937725969699851,0.06460058845754846,-0.03777023096734082,-0.005652702360577159,0.0370970096353644,-0.06900282316280708,0.14547671371006016,0.08502344634169601
CYP1A2-inh,0.031537783896135874,-0.09976676657635349,-0.07749495109036063,-0.0708806100073639,-0.02680611857280598,0.028333368623091437,-0.04851628862766566,0.11901525010858671,0.026648177709388852,-0.027145037123976867,-0.2231366549637716,-0.2392934736969191,0.07198478036458325,0.04680330932712626,-0.18237229878441777,0.14389825872496448,0.31791740048229666,-0.3070209640545536,0.11809973801230556,0.06759110484364408,0.21529622908900875,-0.187363562987969,-0.2085499868323411,0.05189384992397381,-0.0871676713592488,-0.08027916887626257,-0.06463028962016228,-0.103846956177194,-0.20790887273285172,0.08336462576567653,0.10226477449908028,-0.10910380620879545,-0.07663557099015814,0.04914749423822132,-0.042567616040696137
CYP1A2-sub,0.08334318006228425,0.014154255067270466,-0.13517110982004035,-0.11346699671439091,0.037652594733815825,0.012135722775537199,-0.03897083122292053,0.2616973886612048,-0.043748928990960875,-0.08605874301572314,-0.08150413469769324,0.06993505632424962,-0.04243748344963576,-0.12654926465163627,-0.22934886839376023,0.061332987810947884,-0.23199618581051157,0.03563273788625916,-0.11347030544285723,-0.03107592001440143,0.13673551138726686,0.26339573807132194,0.0780001584490479,0.26011382557275053,0.1223321050689346,0.0411628612432436,0.013666839746181048,0.12382502223215831,-0.008050150328219787,-0.04768343057848129,-0.05105392642140974,-0.07482928265154443,-0.06901531558592408,-0.02162870810820898,-0.09119580783305828
CYP2C19-inh,0.02979017797541621,-0.20022559283214897,-0.18481534519114673,-0.14175929618253114,0.05133047604835389,0.01649555463210646,0.023246158545297782,0.05162014548434288,0.0017381569774544414,0.08455818620759337,-0.01745757297964845,-0.011482021930787845,-0.09085126423077644,0.03855311059358857,-0.1331617293229602,-0.06382467475642653,0.12957020301470273,-0.10376639043199168,0.09998105812416302,-0.002638914333802561,-0.0115096688324417,0.003714388505735522,-0.061567103585594994,-0.07010120345140129,0.11514724256022521,0.11108185613560229,0.09636313831619255,-0.0877058605558613,0.12586785768912098,0.15542223325979376,-0.0709171544322054,0.1948599403245918,-0.16348197197394665,0.04129644371100034,0.2796178645717834
CYP2C19-sub,-0.1204754867694497,-0.18243403771738867,-0.014879505650708022,-0.09807300996348992,-0.03480787804953276,-0.05472930830884626,-0.03653219297777538,0.04696604516131553,-0.0036058293826921606,-0.042979948343781826,0.16339117692436517,0.12039190985259254,-0.16828493627894803,0.047080070791814234,-0.05168321289187554,0.013295171355951013,0.06870492997250394,0.015216595656622842,0.018214476533497254,-0.013183578990413891,0.046774851811014165,0.030618402599022404,-0.04336704564764396,-0.13862346942304465,0.08439522824091143,0.029928249348144254,-0.06207630126790986,0.03830830303134239,0.17801584232183496,0.07874460256414492,0.36456081819103053,-0.2629781114022156,0.015153664790486193,-0.037299803908086834,0.019833060122219665
CYP2C9-inh,-0.02488213184018678,-0.21797248286872226,-0.16579156437837175,0.01760736903117886,-0.11864639670314277,0.04277782236626616,0.012131805978204804,-0.09747845837274678,-0.06161508418776157,0.09838180352581122,-0.09895505547368272,0.053833759063586395,0.03207128458140256,-0.039422760975601545,-0.03542149093192486,-0.12794136940247164,-0.003943419192972239,0.018110282143739484,0.09146965926986492,-0.035468599658535445,-0.07449029751721692,0.018926232470680704,-0.10700128095265823,-0.05649944029462996,0.01756543995642812,0.23841461715197582,0.18103818583976888,-0.06253373865214014,0.027029159957256417,0.020163216145983293,-0.05813581574480738,0.10810931437980431,-0.143236734237229,0.03134482667676256,0.17792461780475904
CYP2C9-sub,-0.06048177194869953,0.03530244779065423,-0.04048767007500039,0.220678544215403,-0.19365394434293792,0.1017156908761863,-0.019378714191947803,-0.006112806636038876,0.06934303282128884,0.0356596451790166,0.10050777861945694,0.0008478482665426612,-0.13365921556036814,0.14549224657549675,-0.12317054575363554,0.022043876990008815,0.01833755189273567,0.2546864176462269,0.07272692857002663,-0.014323564839422986,0.027799576695108782,0.21905085407362035,-0.30955144045731736,-0.06742404121200331,-0.006238361198734083,-0.12273542655676123,-0.14359954063573208,0.019452448030167484,0.07273572116913025,0.014015221409865657,0.01967628273734795,0.030560243627245576,0.11563562740252697,-0.09448428325351743,0.1903371194297569
