,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35
SkinSen,0.12591236415705945,0.1068904834442062,0.3562346184543028,0.4765861092688487,0.9788605467013098,8.765677281991703,0.0019643324241959345,1.713637413354941,2.692173491855347,3.3073837413405505,1.3358375894945085,0.38477213355672024,0.9873515875148642,1.2427178419918055,0.007949588086519169,0.17258140495204463,1.0461467623791918,1.285857805552832,2.508007903061156,3.9630142972406754,1.1351480696952176,0.04634078359536754,0.23597998139693632,1.6987008080547643,1.121796311247124,0.18432014462932683,0.9026375840928101,0.14406957918045138,3.0871718808877584,0.3881348374371997,2.1292674271109986,3.5971349232970273,0.5248354864905767,0.29966524975355013,4.3548493188894115
Carcinogenicity,1.2408734866027065,0.0018763974410094888,2.0164202213962445,0.2991347443008174,0.0995077009880854,5.655911039914298,1.2480428588442691,2.2987201059669338,0.6504604044818211,0.21043332842640536,1.1922366550651518,0.35215829388868125,0.28609968355192056,0.1892727935971489,0.48260050605694355,0.1093048909594401,0.1993667756005095,0.03241343001440727,0.1858294254656583,0.33532914308135453,0.15699085341277347,0.012262345636467081,10.834403921554369,0.521719623725766,1.1460797919920143,0.5755660353205081,0.8807929382764976,1.3317970760773477,0.42816412063582326,6.6448899858539106,0.012520517838280242,0.5070854006660741,0.03053993650331397,0.021494762375215422,4.118528877814171
EC,0.2060065630575988,0.6227016254609077,3.175958445146799,1.3332233646165184,2.6821231614225427,0.18313356395732733,2.4175024235596836,0.3107814050227439,0.23434094278037826,1.0740074205754069,0.02697321993384056,0.0762358193106071,0.5284999372486406,0.05776105397565283,1.5077613498177782,0.00615570861702591,0.35402318776816466,1.8296041638155802,0.1099699478144885,3.0990467563791584,3.60240461517167,1.135621240028016,5.080676058365125,7.659390860737799,1.462397643383926,1.3094579778462834,1.6689036373674198,3.329631104141116,0.9589680442479067,0.7965601085648268,0.5303115230398879,4.081130280772436,3.0154554697315,0.32366804302688473,1.1230452654293541
EI,0.3029037833526728,0.14965457261871615,4.606434741945699,4.018979605814625,4.205879701247446,0.35851533974596533,0.3756708573311182,0.5156276778606482,0.19697043233784517,0.0026841569978901165,1.8256657130342315,0.23255842208191121,0.036099050849962726,0.01929743853291169,1.4796100998383608,0.04839413539550825,0.008608909862695491,0.17956164090680218,0.09529093764419798,0.20822596279060426,0.19840417639491068,0.365519381016033,0.06660789161711037,0.011453684723983993,0.10660657805440954,0.8335881288227499,0.3243266844853147,0.15359704747530792,0.10091151551130718,0.4998333161362268,0.000986966942741087,0.37369659466829636,5.143319910849624,1.3078770824219603,2.794287658720572
Respiratory,1.2179484135645515,0.042558322461869295,0.7065412387062587,0.8336802020936882,5.605514141415126,1.3055012435367135,3.455863024670601,0.307665495306478,0.12575566972317404,0.028099364956285462,0.4682241788992852,1.3941832463559571,0.18416912754127968,1.8257919064523258,0.6230671364046513,0.022267523063978004,0.09168486716917244,1.8388799774843998,0.07256424305552633,0.5189287499703158,2.330213063404733,0.2705972777393138,0.21157477002015151,2.584608074022045,0.11556126222004943,0.10803182321069253,1.012535541580578,1.0436861677229876,0.11015209807176136,1.6097091637117158,0.0025170208853819275,0.32964473940881933,0.3777605562743894,6.207780902601125,0.7382068474116591
BCF,1.487766865648583,4.1783372705312045,0.17877793099974054,0.172164875898738,0.0015242912034260819,0.6393565463720496,0.5580639598311884,0.0996177717418801,0.026963389131147913,0.28809933784042424,0.1784273407357069,0.29271083766394346,0.21291730159411718,1.569567420805899,3.8700932662180776,0.2919309152174545,0.10114953472755366,0.8486020436081608,1.8305455725267343,0.8857538262655942,0.1436353804325028,0.32472793440821246,1.4882600081002515,0.6223459876407752,0.9974976546077473,0.7498140362544742,4.9611195936222225,1.3389626641180292,0.6244567152135689,2.029618078565017,0.9290566004149103,0.6614490758100462,0.005318056293023635,0.48109910479950824,0.6484491330613048
IGC50,0.8803157534934254,1.1737333420021472,0.9018483496585217,0.07692253188750435,4.356191580480613,0.6163657987450303,3.2247125120787254,1.430695050915111,0.41691185054474145,0.1803449419074672,0.0010708195211013133,1.33471353682867,0.7085466993009165,1.5893656272387364,0.3133120877825226,0.16250290504195974,2.177414851170469,0.0887186877294988,1.250896353207296,0.37001002832782925,0.04955622967642167,0.9485310528335517,0.4574988155248042,0.0879382791872773,2.0935053568206916,0.12370322256639436,12.248971468217116,0.014588489546829241,0.10593148613516719,0.1588245416213381,0.1252664923188609,0.27199636757390994,2.9026189541761953,0.31124547338058306,0.6484596273351944
LC50,0.06045711019492322,3.9017524596801487,0.07511815875222837,0.041560859310411265,3.3891894988848246,1.816530974867213,1.3259540396379945,1.4948965798903575,0.04194361940351402,1.279440290046136,0.5986314380791231,4.675544170507287,0.2557032313675682,0.040834742132542894,0.2653251690468296,1.3779642267146395,0.08832041427310401,0.04226378884427939,1.0942942016785782,0.5262265389205245,0.04493653341164077,1.4647259022108794,1.0435991692568516,0.8434659645686482,0.001338742481133686,0.22145783658716472,1.103983487800592,0.6164846830142227,0.2133122550519517,0.36930456968688297,0.6017207665172674,0.6950840252141327,3.375418591269847,0.21989825185767148,4.109768185097293
LC50DM,0.9109214693207017,3.917672821794015,0.0002955396270494042,0.007008190102834491,2.2155587188354415,0.23410493068905347,0.040139054156336125,0.1728536252902682,0.3575821424373944,1.5862145370162357,1.3670629457772983,5.264050915852651,0.015948726117744543,0.04249188633787218,0.03695126839498832,1.2221492330662413,2.182297375231802,0.37954892430454606,0.16910751329864562,0.00021531818197484135,0.26376863763191116,0.27348633069077105,0.149347659282508,0.007335681483360054,2.364223104449312,0.2903189323093718,1.693885789521778,0.12254028804435224,0.05604116438827243,1.7324401312494762,0.5115966431570882,1.489306821513393,3.223606758493852,0.7232541112303025,0.22618981673071634
NR-AR,0.019251857338469,0.05274104005540862,0.7909731302909963,0.048496411587808444,2.5802250324927907,0.02209835683725984,0.9602262874289647,1.2650460650121507,1.5800296107649052,0.1174991792104904,1.0025292322225754,1.0233029640088078,0.8272892952479162,17.24840618894743,9.918996188371755,5.483353888457991,0.02708015436836932,0.7253787485071176,0.15976999394159405,0.46535033938993886,0.388870429262529,0.47466859147725177,0.0322495707162596,2.3619875159863213,1.4155063697811818,4.558358635941935,1.0346585333619076,2.2055631459108076,0.3577750871549354,1.1245010419086015,3.799154126451148,0.04426169086951665,2.7830629607486546,5.174297414770208,1.4338067572939683
