LogS,LogD,LogP,Pgp-inh,Pgp-sub,HIA,F(20),F(30),Caco-2,MDCK,BBB,PPB,VDss,Fu,CYP1A2-inh,CYP1A2-sub,CYP2C19-inh,CYP2C19-sub,CYP2C9-inh,CYP2C9-sub,CYP2D6-inh,CYP2D6-sub,CYP3A4-inh,CYP3A4-sub,CL,T12,hERG,H-HT,DILI,Ames,ROA,FDAMDD,SkinSen,Carcinogenicity,EC,EI,Respiratory,BCF,IGC50,LC50,LC50DM,NR-AR,NR-AR-LBD,NR-AhR,NR-Aromatase,NR-ER,NR-ER-LBD,NR-PPAR-gamma,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53,MW,Vol,Dense,nHA,nHD,TPSA,nRot,nRing,MaxRing,nHet,fChar,nRig,Flex,nStereo,NonBiodegradable,NonGenotoxic_Carcinogenicity,SureChEMBL,LD50_oral,Skin_Sensitization,Acute_Aquatic_Toxicity,Toxicophores,Genotoxic_Carcinogenicity_Mutagenicity,QED,Synth,Fsp3,MCE-18,Natural Product-likeness,Alarm_NMR,BMS,Chelating,PAINS,Lipinski,Pfizer,GSK,GoldenTriangle
-1.562,-0.461,0.78,0,0.989,0.965,0.983,0.992,-6.274,2.77E-06,0.134,25.86,0.2,68.68,0.051,0.838,0.225,0.057,0.032,0.253,0.003,0.157,0.01,0.327,1.342,0.91,0.008,0.958,0.995,0.006,0.014,0.022,0.148,0.083,0.003,0.011,0.93,-0.194,2.875,3.532,4.845,0.008,0.045,0.043,0.046,0.144,0.006,0.106,0.724,0.048,0.087,0.07,0.684,397.05,342.529,1.159,10,4,147.94,6,3,8,12,0,19,0.316,2,0,0,3,0,4,2,4,0,0.304,4.263,0.357,66.316,0.12,3,1,0,0,1,1,1,1
-2.956,0.94,2.148,0,0.005,0.02,0.005,0.002,-5.798,4.65E-05,0.045,68.09,0.185,48.76,0.009,0.055,0.03,0.203,0.029,0.772,0.239,0.095,0.013,0.254,6.206,0.924,0.005,0.143,0.96,0.003,0.09,0.002,0.524,0.011,0.003,0.008,0.011,0.275,2.427,3.3,3.913,0.007,0.002,0.014,0.004,0.124,0.006,0.005,0.093,0.003,0.009,0.01,0.005,334.1,319.468,1.046,6,2,86.71,5,3,7,7,0,17,0.294,3,0,0,0,0,3,0,2,0,0.798,3.2,0.438,66.957,0.341,3,1,0,0,1,1,1,1
-2.301,0.443,1.841,0,0.014,0.433,0.005,0.004,-5.868,5.69E-05,0.354,54.65,0.396,49.75,0.012,0.059,0.04,0.065,0.017,0.266,0.726,0.094,0.035,0.098,3.71,0.626,0.011,0.072,0.964,0.005,0.197,0.012,0.282,0.092,0.003,0.01,0.429,0.127,2.673,3.661,3.807,0.001,0.002,0.021,0.011,0.079,0.006,0.033,0.151,0.003,0.061,0.133,0.033,351.13,333.101,1.054,7,3,113.06,4,3,7,8,0,18,0.222,4,0,0,0,0,2,0,2,0,0.574,4.681,0.625,53.308,0.786,5,1,0,0,1,1,1,1
-3.046,0.801,1.956,0,0.034,0.14,0.004,0.007,-6.113,4.61E-06,0.024,80.19,0.217,21.86,0.006,0.054,0.025,0.064,0.014,0.799,0.255,0.067,0.013,0.112,1.822,0.856,0.008,0.07,0.986,0.096,0.087,0.004,0.261,0.13,0.003,0.007,0.907,0.232,3.157,3.739,4.203,0.001,0.002,0.034,0.007,0.067,0.004,0.012,0.515,0.005,0.057,0.237,0.036,375.1,347.185,1.08,9,3,135.34,6,3,7,10,0,19,0.316,3,1,1,0,0,2,1,3,1,0.359,4.55,0.375,68.727,-0.16,6,3,0,1,1,1,1,1
-1.552,-1.337,-0.304,0,0.998,0.998,1,0.998,-6.468,3.72E-06,0.015,94.69,0.263,4.58,0.009,0.851,0.144,0.04,0.023,0.432,0.001,0.09,0.009,0.068,1.281,0.852,0.014,0.885,0.997,0.01,0.005,0.009,0.237,0.137,0.003,0.008,0.951,-0.244,3.453,3.998,5.04,0.009,0.055,0.034,0.026,0.102,0.007,0.115,0.794,0.009,0.034,0.094,0.489,554.05,464.327,1.193,15,5,215.69,9,4,8,18,0,27,0.333,2,1,0,3,0,5,2,4,0,0.081,4.516,0.333,87.75,-0.491,3,1,0,0,0,1,0,0
-3.105,-0.634,-0.516,0,0.999,0.983,1,0.999,-6.267,1.78E-06,0.027,91.43,0.16,5.31,0.003,0.061,0.093,0.043,0.269,0.948,0.017,0.094,0.033,0.159,0.757,0.852,0.084,0.117,0.983,0.013,0.02,0.006,0.661,0.196,0.003,0.005,0.036,0.086,3.303,4.118,5.1,0.01,0.01,0.207,0.513,0.343,0.01,0.492,0.708,0.003,0.012,0.156,0.005,612.12,550.424,1.112,15,5,212.5,11,5,8,17,0,31,0.355,3,1,0,0,0,5,2,4,0,0.159,4.13,0.28,102,-0.885,3,1,0,0,0,1,0,0
-1.946,-0.716,-0.274,0,0.995,0.038,0.003,0.007,-6.22,1.09E-06,0.009,47.05,0.196,49.02,0.006,0.059,0.04,0.045,0.152,0.923,0.019,0.095,0.027,0.162,2.386,0.931,0.063,0.187,0.972,0.009,0.038,0.003,0.527,0.081,0.003,0.011,0.029,0.117,3.16,3.765,4.905,0.018,0.078,0.22,0.36,0.158,0.013,0.063,0.696,0.007,0.016,0.099,0.025,462.08,408.88,1.13,11,6,174.53,8,4,8,13,0,23,0.348,3,0,0,0,0,5,2,3,0,0.279,4.098,0.278,78.261,-0.112,3,1,0,0,0,1,0,1
-1.439,-1.304,-0.814,0.001,0.064,0.999,0.989,0.999,-5.465,2.03E-05,0.014,21.65,0.242,85.38,0.011,0.08,0.031,0.067,0.015,0.318,0.014,0.079,0.013,0.805,2.792,0.962,0.022,0.749,0.977,0.015,0.114,0.004,0.554,0.052,0.003,0.009,0.131,0.335,2.599,3.145,3.936,0.045,0.194,0.015,0.007,0.084,0.008,0.016,0.764,0.004,0.325,0.023,0.007,415.07,384.395,1.08,7,1,93.42,7,4,8,9,0,23,0.304,2,1,0,0,0,4,2,3,0,0.516,3.895,0.263,71.5,-0.674,3,1,0,0,1,1,0,1
-2.247,0.296,0.47,0,0.994,0.946,0.579,0.994,-6.035,7.22E-06,0.087,98.91,0.222,4.59,0.027,0.038,0.229,0.023,0.16,0.097,0.007,0.039,0.04,0.071,1.79,0.847,0.031,0.999,0.999,0.006,0.073,0.933,0.7,0.837,0.003,0.004,0.821,-0.258,3.654,4.552,5.074,0.006,0.022,0.016,0.007,0.5,0.004,0.004,0.811,0.003,0.003,0.166,0.202,690.12,596.96,1.156,19,6,269.88,11,6,8,21,0,37,0.297,4,0,1,3,2,3,1,5,4,0.079,5.391,0.385,130.889,-0.17,3,1,0,0,0,1,0,0
-2.515,0.608,1.833,0,0.02,0.125,0.002,0.001,-6.155,0.000159255098,0.092,61.83,0.174,44.69,0.002,0.044,0.022,0.062,0.01,0.959,0.122,0.075,0.017,0.047,0.872,0.909,0.004,0.087,0.958,0.001,0.192,0,0.221,0.006,0.003,0.006,0.022,0.104,2.628,3.629,3.971,0.002,0.003,0.016,0.006,0.063,0.007,0.145,0.059,0.003,0.01,0.042,0.017,378.09,351.708,1.075,8,3,124.01,6,3,7,9,0,18,0.333,4,0,0,0,0,3,0,2,0,0.503,3.6,0.412,73.333,0.622,3,1,0,0,1,1,1,1
-2.853,1.015,2.183,0.002,0.01,0.011,0.024,0.006,-5.738,3.10E-05,0.017,87.24,0.25,19.65,0.011,0.061,0.039,0.266,0.021,0.723,0.2,0.128,0.011,0.116,4.642,0.955,0.009,0.231,0.96,0.004,0.057,0.002,0.339,0.014,0.003,0.008,0.016,0.322,2.607,3.732,4.098,0.005,0.002,0.015,0.004,0.219,0.006,0.005,0.15,0.004,0.008,0.01,0.005,364.11,345.554,1.054,7,2,95.94,6,3,7,8,0,17,0.353,4,0,0,0,0,3,0,2,0,0.759,3.42,0.471,69.72,0.112,4,1,0,0,1,1,1,1
-1.843,-0.168,-0.401,0,0.983,0.973,1,0.999,-6.028,3.90E-06,0.005,44.77,0.396,43.89,0.004,0.559,0.022,0.053,0.013,0.058,0.008,0.045,0.005,0.221,1.908,0.889,0.02,0.317,0.992,0.395,0.075,0.005,0.913,0.789,0.003,0.014,0.753,-0.016,2.404,3.906,4.854,0.002,0.007,0.075,0.025,0.026,0.007,0.006,0.277,0.001,0.001,0.008,0.001,496.06,403.173,1.23,13,3,169,12,3,8,17,0,17,0.706,2,1,0,0,0,5,3,3,1,0.189,4.257,0.6,71.5,-1.056,2,2,0,0,1,1,0,1
-2.952,0.991,2.476,0.002,0.006,0.937,0.997,0.998,-5.72,1.26E-05,0.022,50.6,0.382,70.81,0.012,0.096,0.031,0.556,0.022,0.84,0.154,0.135,0.009,0.054,6.362,0.958,0.005,0.074,0.347,0.003,0.095,0.013,0.743,0.026,0.003,0.014,0.809,0.054,2.519,4.205,4.646,0.007,0.002,0.017,0.003,0.119,0.005,0.005,0.252,0.003,0.009,0.005,0.003,325.15,312.287,1.041,6,1,73.21,3,3,7,7,0,18,0.167,3,0,0,0,0,3,0,2,0,0.482,4.02,0.8,52.074,0.376,3,1,0,0,1,1,1,1
-1.672,-0.4,-0.719,0,0.739,0.943,0.546,0.946,-6.284,1.68E-06,0.057,57.57,0.237,14.14,0.011,0.094,0.117,0.044,0.019,0.803,0.02,0.109,0.023,0.085,1.686,0.93,0.01,0.947,0.995,0.018,0.027,0.124,0.442,0.755,0.003,0.011,0.826,-0.185,2.965,3.742,4.186,0.006,0.008,0.115,0.022,0.239,0.019,0.856,0.304,0.007,0.086,0.115,0.126,410.04,354.982,1.155,10,4,163.98,7,3,8,12,0,20,0.35,2,0,0,0,0,1,2,4,0,0.492,4.729,0.333,64,-0.011,5,1,0,0,1,1,0,1
-1.836,0.352,0.424,0,0.938,0.689,0.288,0.662,-6.86,1.58E-05,0.041,78.01,0.276,31.12,0.006,0.036,0.07,0.044,0.082,0.179,0.034,0.084,0.033,0.031,1.524,0.935,0.008,0.217,0.994,0.004,0.029,0.143,0.683,0.065,0.003,0.007,0.911,-0.063,3.102,4.09,4.304,0.005,0.003,0.006,0.001,0.134,0.006,0.003,0.043,0.002,0.003,0.017,0.01,475.14,446.782,1.063,10,5,156.27,8,4,7,11,0,23,0.348,6,0,0,0,0,8,0,4,1,0.359,4.427,0.455,92.812,-0.046,2,1,0,0,1,1,0,1
