# Atoms,LogS,LogD,LogP,Pgp-inh,Pgp-sub,HIA,F(20%),F(30%),Caco-2,MDCK,BBB,PPB,VDss,Fu,CYP1A2-inh,CYP1A2-sub,CYP2C19-inh,CYP2C19-sub,CYP2C9-inh,CYP2C9-sub,CYP2D6-inh,CYP2D6-sub,CYP3A4-inh,CYP3A4-sub,CL,T12,hERG,H-HT,DILI,Ames,ROA,FDAMDD,SkinSen,Carcinogenicity,EC,EI,Respiratory,BCF,IGC50,LC50,LC50DM,NR-AR,NR-AR-LBD,NR-AhR,NR-Aromatase,NR-ER,NR-ER-LBD,NR-PPAR-gamma,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53,MW,Vol,Dense,nHA,nHD,TPSA,nRot,nRing,MaxRing,nHet,fChar,nRig,Flex,nStereo,NonGenotoxic_Carcinogenicity,LD50_oral,Genotoxic_Carcinogenicity_Mutagenicity,SureChEMBL,NonBiodegradable,Skin_Sensitization,Acute_Aquatic_Toxicity,Toxicophores,QED,Synth,Fsp3,MCE-18,Natural Product-likeness,Alarm_NMR,BMS,Chelating,PAINS,Lipinski,Pfizer,GSK,GoldenTriangle
5.529969315,0.2732802683,-0.4521098535,-0.4350879446,-0.6216894115,0.3809689011,2.597262254,1.699285175,1.45684767,-4.21754574,-0.1966660524,-1.200297172,-0.937075621,-0.7675281822,-0.05907807203,-0.8119803618,-1.312970883,-0.7471959782,-1.274439517,-0.5335903378,-0.2155717816,-0.8073261632,-1.154585114,-0.4649234995,-1.411486459,-1.129297031,0.9157847506,-0.7672635367,1.048397198,-1.174682547,-0.7194589799,1.323521761,-0.05424856108,-1.320763586,-1.019486381,-0.3625969381,-0.5549018108,-1.542891292,-0.9773578619,0.08176449305,0.1721672506,0.9787396773,-0.6517602316,-0.4500154297,-0.6930864349,-0.6477777019,-0.1668398151,2.86023038,2.117407062,0.9034084409,-0.1251861359,-0.4759982574,0.1974089933,-0.390817688,5.697453287,-0.03194759304,-0.1363389909,6.419212299,6.528951364,6.521919813,5.448018423,0.8519179864,3.218976038,5.957007709,0.2047947638,4.248436422,-0.1414176267,3.921191487,-0.4932201505,-0.2412403171,-0.5241377753,1.33922578,-0.9550465467,0.2562100109,-0.7436937188,1.401880683,-2.315902154,3.662610383,0.6543653627,2.639331105,0.439828661,1.798551648,-0.4448331332,-0.1968062589,-0.1985287665,-2.872645767,0.5881069692,-1.237671892,-1.450031895
2.017271694,-1.038470765,1.085028665,0.8677705726,-0.6089323697,1.378546662,-0.4379019658,-0.7091065489,-0.8195477221,-1.098060668,-0.1085833945,-1.053829159,0.9622799116,-0.7884657848,-0.8182129257,-0.8087374471,1.410246725,-0.761330785,0.2771341369,-0.5189941601,-1.09670342,-0.7705868698,-0.8603206137,0.00479053026,1.030337887,-0.5100509938,-1.135340776,1.667585225,-0.713350977,-1.14319055,0.2056116995,1.432566253,1.215189069,1.382704963,0.5195975045,-0.3625969381,-0.5305496696,1.008082774,0.3531595583,0.7257017379,1.216144961,0.8288528873,-0.6296879002,3.037879016,-0.6930864349,1.773095122,2.660004045,1.582275944,2.917250242,1.802270337,2.841483588,-0.4510748494,2.156569343,2.153207585,2.182231554,-0.03225950801,-0.1421909099,1.69463862,1.392107423,1.541640356,0.2130641961,3.305007886,1.672969039,1.379471192,0.2047947638,2.862199552,-0.141450928,5.452710393,-0.4932201505,-0.2412403171,-0.5241377753,-0.3885610249,0.2105962316,-0.3024407429,1.958526228,-0.1753596306,-1.507102243,2.36337239,1.696147441,3.982443578,1.714297088,-0.8015463051,-0.4448331332,-0.1968062589,-0.1985287665,-2.872645767,0.5881069692,-1.237671892,-1.450031895
5.529969315,-0.2199381202,-0.5359265594,-0.2423834714,0.602986605,1.376242787,2.597262254,1.699285175,1.45684767,-2.358830632,-0.1955534501,-1.1874491,0.2884669029,-0.6815344574,-0.3187904561,-0.8119803618,-1.258620952,-0.680055646,-1.268956925,-0.146791629,-1.020743796,-0.762714164,-1.02887989,0.653737545,-1.408411114,-1.063793597,0.5930341163,-0.6765238313,1.094380837,-0.8791422691,-0.6865383151,1.705177482,1.034195032,-1.240523652,-1.042983845,-0.3625969381,-0.5549018108,-1.545526595,-1.15985101,-0.7301563809,-0.4393280396,0.9106829727,-0.6486070414,-0.4535173318,-0.6613647187,-0.6318718357,-0.3420574097,-0.4801289111,-0.2371096593,-0.8000291379,-0.3825240989,-0.4967677641,0.1047042449,-0.4869835918,5.167592383,-0.03199075413,-0.1714505046,5.710526247,5.428199091,5.359359232,6.943719631,3.305007886,0.1269620403,5.085095991,0.2047947638,3.928535606,-0.1414042196,2.083368801,-0.4932201505,-0.2412403171,-0.5241377753,-0.3885610249,-0.9550465467,-0.3024407429,-0.7436937188,4.55636131,-2.428863035,2.51543926,-0.1171800107,3.322200481,-0.07699792493,0.0651530125,-0.4448331332,-0.1968062589,-0.1985287665,-2.872645767,0.5881069692,-1.237671892,-1.450031895
4.707848595,-1.241937925,-0.1682306529,0.6558357154,1.544456293,1.380850537,2.418360298,-0.5088094416,1.01071993,-0.8823795755,-0.189350446,-0.9741711175,1.000882147,-0.7637893246,-0.9477516209,-0.8119803618,-1.270063043,-0.680055646,-1.104479152,-0.3438400278,0.06395963492,-0.7994534575,-0.9088885408,1.145083142,1.423982115,-0.6271763387,-1.249962496,-0.7733128504,1.355912785,1.146035374,-0.7194589799,0.009248678328,-0.9641774875,-1.218920593,-1.040046662,-0.3625969381,-0.5514229335,-1.521808861,-0.2616223236,-0.3083910326,0.2680104243,0.02513561367,-0.6391474708,-0.4430116256,1.210216538,2.348887476,-0.1317962961,2.793938796,2.051619095,1.648269522,-0.3825240989,0.163702549,2.002061429,1.902593411,4.803727467,-0.03202699075,-0.1363389909,5.238068879,1.759024847,4.025379454,0.586989498,2.691735411,2.059470789,4.649140133,0.2047947638,5.634673292,-0.1414533067,2.083368801,-0.4932201505,-0.2412403171,1.344578662,-0.3885610249,-0.9550465467,3.04946378,0.1570462635,5.344981467,-2.103535697,3.338912485,0.5016228776,4.291591908,0.3351666463,3.531950283,-0.4448331332,-0.1968062589,-0.1985287665,-2.872645767,0.5881069692,-1.237671892,-1.450031895
2.017271694,-0.5965564168,0.498810632,0.6265895064,1.919513323,1.369331163,-0.3885497021,-0.7091065489,-0.7829423691,-0.9104356526,-0.09371587677,-1.195157943,-0.8457483804,-0.5820808452,0.6254450332,-0.8054945324,-1.029779136,-0.761330785,1.305120215,-0.6904992479,-1.081511496,-0.7810838107,-0.6089101672,-0.6225249173,1.380927277,-0.3488951951,1.006275583,0.6513005243,1.105876747,0.9498160088,-0.2849062052,-0.9291078678,-1.226990747,-1.052268422,-0.8873131468,-0.3625969381,-0.5305496696,0.926388357,0.4812930452,0.2307822285,1.464069865,1.477011979,-0.6265347099,-0.3974868989,-0.6962586066,-0.6477777019,0.7403979527,-0.3770086683,-0.4483236593,-0.771743274,-0.4068012652,-0.5341528762,-0.3433687058,-0.3966459246,2.097094436,-0.03225628151,-0.3177484783,1.930867304,1.025189999,1.397147952,0.2130641961,0.2386455114,1.286467289,1.597449121,0.2047947638,1.262695472,-0.141444657,4.840102831,-0.4932201505,-0.2412403171,-0.5241377753,-0.3885610249,1.37623901,-0.3024407429,0.1570462635,-0.1753596306,-1.412215103,2.410504227,1.978133567,1.256261037,1.6781748,0.0651530125,-0.4448331332,-0.1968062589,-0.1985287665,-2.872645767,0.5881069692,-1.237671892,-1.450031895
1.867795199,-0.214691116,-0.277990625,0.6390091294,1.919513323,1.369331163,-0.3885497021,-0.7066933307,-0.7646396926,-0.4194543035,-0.08879285767,-1.197727557,0.2156561819,-0.4377609418,-0.4165794711,-0.8087374471,0.04863792099,-0.7719318901,1.266742068,-0.6868502035,-1.11493373,-0.7994534575,-0.8717483613,-0.3104123055,1.279440875,0.305705344,1.033422832,-0.1139376579,1.025405378,1.097586148,-0.380376133,-0.9951084811,-1.229470117,-1.055354573,-0.8873131468,-0.3625969381,-0.5305496696,-0.3280162458,0.4877644334,0.8909759536,1.501298205,2.202139963,-0.5666240961,-0.08231571409,-0.6962586066,-0.6382341822,0.732610504,-0.001356355508,-0.4310110363,-0.7843147691,-0.3728132323,-0.5258450735,0.7968996998,1.759801615,2.091586193,-0.03225860197,-0.2884888836,1.930867304,0.6582725744,1.438788838,0.400026847,0.2386455114,1.093216414,1.597449121,0.2047947638,1.262695472,-0.1414420621,4.840102831,-0.4932201505,-0.2412403171,-0.5241377753,-0.3885610249,2.541881788,0.2562100109,0.1570462635,0.6132605262,-1.285698916,2.395386468,1.87238877,1.238490626,1.600372948,0.0651530125,-0.4448331332,-0.1968062589,-0.1985287665,-2.872645767,0.5881069692,-1.237671892,-1.450031895
5.081539831,-0.02346696542,-0.8906508329,-0.7511873819,0.7433140653,1.380850537,2.597262254,1.699285175,1.45684767,-2.504371532,-0.1918513397,-1.089803759,-1.474054688,-0.8355753905,0.2298440178,-0.8119803618,-1.26720252,-0.7471959782,-1.263474332,-0.5226432045,-0.9204770927,-0.8073261632,-1.083161691,-0.2362469324,-1.408411114,-1.072686447,0.3728397584,-0.7370169683,0.8558407091,0.2521471558,-0.6799541822,1.710916666,0.07467869824,-1.280643619,-1.040046662,-0.3625969381,-0.5549018108,-1.553432507,-1.35787549,-0.6886120425,-0.4718038257,0.980360075,-0.6265347099,-0.4570192338,-0.6708812336,-0.6541400483,-0.08896532856,0.4111246154,-0.4379360855,-0.8000291379,-0.3922349654,-0.5133833695,0.2437613675,-0.5831494956,4.878650269,-0.03202708849,-0.07196788253,6.182983615,6.528951364,6.044006034,6.943719631,2.078462936,0.1269620403,5.52105185,0.2047947638,2.862199552,-0.1413905964,2.083368801,1.261313553,-0.2412403171,0.09876770391,-0.3885610249,1.37623901,-0.3024407429,0.1570462635,6.133601624,-2.442418341,2.415839907,0.1530566937,2.92856521,-0.05662124949,0.0651530125,-0.4448331332,-0.1968062589,-0.1985287665,-2.872645767,0.5881069692,-1.237671892,-1.450031895
1.793056952,-0.1377350554,-0.3792691447,0.4987875793,1.919513323,1.371635038,-0.3391974384,-0.7042801126,-0.7371856778,-0.7193036274,-0.07993142327,-1.192588329,0.06250259636,-0.4953393489,-0.1000351595,-0.8054945324,-0.6807953668,-0.7683981884,1.179020589,-0.6904992479,-1.093665036,-0.7994534575,-0.9174593515,-0.5452693203,1.01496116,0.04868028144,1.057553721,-0.3044910392,1.082884927,1.095163687,-0.4198809307,-1.012326032,-1.229470117,-1.089302238,-0.8667528659,-0.3625969381,-0.5270707922,-0.9604891547,0.08394980787,0.6010687228,1.173371975,1.720071638,-0.31436888,-0.1313423428,-0.6962586066,-0.6414153554,0.9623402392,-0.4138373265,-0.417160938,-0.7623146527,-0.3728132323,-0.5258450735,0.2623023172,0.7194613828,2.016609913,-0.03226688911,-0.2650812078,1.930867304,1.025189999,1.600643874,0.2130641961,0.2386455114,1.093216414,1.597449121,0.2047947638,1.262695472,-0.141444657,4.840102831,-0.4932201505,-0.2412403171,-0.5241377753,-0.3885610249,2.541881788,0.2562100109,0.1570462635,-0.1753596306,-1.412215103,2.37048663,1.868472296,1.253161546,1.718001938,0.0651530125,-0.4448331332,-0.1968062589,-0.1985287665,-2.872645767,0.5881069692,-1.237671892,-1.450031895
4.184680864,-1.696678283,-0.2769928071,0.6967002815,1.916961914,1.376242787,-0.4656626142,1.629301848,1.447696332,-0.7526202189,-0.1912999615,-1.030702631,1.106018318,-0.7084542321,-1.077607813,-0.0596241518,-1.138478998,1.404828356,-1.093513967,2.783391042,1.713802669,-0.6787386362,-0.7374723274,0.08822657501,0.7843102454,-0.9835410457,-1.265044302,0.06451709607,1.341542898,1.13876799,-0.5416873902,-0.3953637773,1.212709699,-1.218920593,1.29207663,-0.3625969381,-0.5061975283,0.2860095367,1.246211134,1.522269269,0.8264355275,1.788938542,2.340617269,-0.274920327,1.927127324,2.317075744,-0.4861252097,-0.520640435,2.352858734,0.3376911638,-0.3922349654,0.08893232491,1.850643673,-0.5365236029,1.07427251,-0.03234418197,-0.4347868572,0.277266516,0.29135515,0.4339633466,1.334840102,0.8519179864,-0.4527905842,0.2895815448,-1.303066218,0.9427946561,-0.1414251952,-0.06075766726,1.261313553,-0.2412403171,0.09876770391,-0.3885610249,0.2105962316,1.373511518,0.1570462635,0.6132605262,-1.461917891,0.1046013423,-0.7673146909,0.1941690201,-0.5243585719,-0.8015463051,-0.4448331332,-0.1968062589,-0.1985287665,0.3478912366,0.5881069692,-1.237671892,-1.450031895
2.839392413,1.211911008,-2.602906398,-2.592096019,-0.631895045,-0.9161125756,2.594177737,1.65343403,1.399651806,-1.496106262,-0.15121674,-1.112930287,-1.598335057,-0.8744595096,1.036920889,-0.8087374471,-1.301528792,-0.7577970833,-1.186718038,-0.5299412933,1.741148134,-0.7915807517,-0.9717411525,-0.7708556636,-1.402260423,-1.169640205,-0.2153506499,-0.6614005471,1.304181191,-1.174682547,-0.5351032573,-1.11563134,-1.229470117,0.7130101283,0.3228062443,3.028759101,0.01215519297,-1.511267646,-1.302221551,0.4096035111,0.0446403831,-0.9778905807,-0.1125647072,-0.3764754866,-0.6455038606,-0.6541400483,0.7949100932,-0.089745135,-0.493336479,-0.7497431577,-0.4165121317,0.5707848804,-0.8099826061,-0.5627506675,0.811748572,-0.03239161936,0.1211454427,1.930867304,-0.8093971231,1.978648954,2.643578659,-0.9878994385,-0.4527905842,1.597449121,-7.334510146,-0.5500758189,-0.1413316342,-0.3670614484,-0.4932201505,-0.2412403171,-0.5241377753,-0.3885610249,1.37623901,-0.8610914967,-0.7436937188,-0.1753596306,-1.764653053,1.004552642,0.1217249019,-0.4773872162,-0.504908109,-0.8015463051,1.479130937,-0.1968062589,-0.1985287665,-2.872645767,0.5881069692,-1.237671892,-1.450031895
