,MW,#Heavy atoms,#Aromatic heavy atoms,Fraction Csp3,#Rotatable bonds,#H-bond acceptors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT class,log Kp (cm/s),Ghose #violations,Egan #violations,Muegge #violations,Bioavailability Score,Brenk #alerts,Leadlikeness #violations,Synthetic Accessibility
ESOL Solubility (mg/ml),-0.9657764011680096,-0.9439073906045854,-0.9647400725732512,0.20064960976752533,-0.8562217483408014,-0.17291046395691165,-0.9641862703645878,-0.7791174478306208,-0.5493713098358074,-0.9287969902444531,-0.9569565114888194,-0.4967468302735471,-0.7640678252685342,-0.897574229182866,0.974136319056992,1.0000000000000002,0.9977703616040099,0.38822829598917097,0.888099479849255,0.9974753545718683,0.9981375676277642,0.5365781455671528,0.916056351148419,0.8096670784490465,0.7935770378013203,0.3209101583141685,-0.48477596269370515,0.5092116960275792,-0.3882282959891711,0.984670590172425,0.0,-0.7363090279432503,0.984670590172425,-0.9122652840552222
ESOL Solubility (mol/l),-0.9770887084310318,-0.958646185138492,-0.9763290151888889,0.1762898578475856,-0.8877212983093703,-0.20789742920420712,-0.9764308242006852,-0.7717083383815506,-0.5427513481686116,-0.9225162509293059,-0.9545932342547169,-0.5065606273036543,-0.7676502026025009,-0.8961962947003728,0.9737596840185442,0.9977703616040099,1.0,0.3685367701038958,0.881272239373831,0.9936090136100401,0.998612846269875,0.5277723200542674,0.9348565766565647,0.8456982879141886,0.8308921772650989,0.32359012612674065,-0.44433284486643654,0.5620200352328032,-0.36853677010389574,0.9939570362033155,0.0,-0.695247217068364,0.9939570362033155,-0.9097673318629393
ESOL Class,-0.42849597492876446,-0.3068605939584189,-0.22718473369882597,-0.4077177531501005,-0.29277002188455997,-0.316227766016838,-0.34755923283240736,-0.7733891038868996,-0.8769430575662209,-0.678340161459003,-0.32291129443586325,-0.5838833097525894,-0.5605346181860769,-0.62446645435486,0.5515473700795486,0.38822829598917097,0.3685367701038958,1.0000000000000002,0.7331367312016407,0.4024898075663177,0.3777285804697143,0.6324555320336759,0.17365618209123332,0.271890566338899,0.2717152504385753,-0.2,-0.9058691148613666,0.2,-1.0000000000000002,0.316227766016838,0.0,-0.19999999999999996,0.316227766016838,-0.619712874003222
Ali Log S,-0.9011688660572248,-0.8043180257772949,-0.7776339717483626,-0.08110239721703193,-0.7784809911679609,-0.2057925687148132,-0.8548595089646919,-0.9668133658036308,-0.7797407493713412,-0.9847762120949834,-0.8757086199589721,-0.7191610611790669,-0.9053026753820895,-0.9821196115214296,0.9568892100399595,0.888099479849255,0.881272239373831,0.7331367312016407,1.0,0.9021239751799895,0.8914116820089396,0.7829764137821412,0.7244229122160255,0.7395915647051062,0.7304791335269303,0.1169358170432575,-0.7580004147038214,0.5175680945653747,-0.7331367312016407,0.8521098548347738,0.0,-0.5602750886159557,0.8521098548347738,-0.9815934597104561
Ali Solubility (mg/ml),-0.9588247278614266,-0.9234991986558484,-0.947876613102361,0.21715259354790017,-0.8437866615073922,-0.11873087375965463,-0.9521917320641418,-0.8074483043125501,-0.5398479313011963,-0.9325692919190929,-0.9718880627074384,-0.5377629059152546,-0.7970019180112443,-0.915149375954248,0.9734428850891779,0.9974753545718683,0.9936090136100401,0.4024898075663177,0.9021239751799895,0.9999999999999997,0.9976439594240631,0.5888259654323375,0.8925291843582983,0.795197054289107,0.7791642095442217,0.28702502818451076,-0.5091116416473717,0.4925066667841571,-0.4024898075663176,0.9777299320372805,0.0,-0.7442347419196191,0.9777299320372805,-0.9313190065068003
Ali Solubility (mol/l),-0.9716546505419035,-0.9439072286817608,-0.9653166664151123,0.19575283224349493,-0.8756489317205229,-0.16352012099237145,-0.9677267108155179,-0.7913821383591051,-0.5340471047551935,-0.9258117820345455,-0.967042079805637,-0.532691160569713,-0.7893431817278689,-0.908332519610505,0.9739441290372493,0.9981375676277642,0.998612846269875,0.3777285804697143,0.8914116820089396,0.9976439594240631,1.0000000000000002,0.5640325744787725,0.9178798385639046,0.8313818094141721,0.8163398896523362,0.3004634430068802,-0.464442641429872,0.5425608737237603,-0.3777285804697143,0.9897813847651187,0.0,-0.7094245508735427,0.9897813847651187,-0.9235042316479417
Ali Class,-0.5408989232095259,-0.3528648731129847,-0.3592106040535498,0.02014557410063449,-0.4629100498862757,0.24999999999999997,-0.45724353221470476,-0.9063860318127154,-0.44011872295014,-0.6693150703487767,-0.676932305438477,-0.923200573287894,-0.902695699502281,-0.8010722799965097,0.6146258918027953,0.5365781455671528,0.5277723200542674,0.6324555320336759,0.7829764137821412,0.5888259654323375,0.5640325744787725,1.0,0.27081323762165227,0.4305618750186111,0.42927502606223666,-0.31622776601683794,-0.6594784840201664,0.31622776601683794,-0.6324555320336759,0.5,0.0,-0.316227766016838,0.5,-0.8207851910912588
Silicos-IT LogSw,-0.9493137263057512,-0.9904445451773699,-0.98089644894036,0.028793909659126538,-0.9320909442393909,-0.4212650363003479,-0.976347330105649,-0.5626996252225362,-0.48689749905456525,-0.806649643682016,-0.8417373074936099,-0.2974286055448889,-0.618398179311368,-0.7624699910123139,0.888390084703935,0.916056351148419,0.9348565766565647,0.17365618209123332,0.7244229122160255,0.8925291843582983,0.9178798385639046,0.27081323762165227,1.0,0.9126577356689917,0.9018196243988353,0.5257262498926377,-0.19402106988216192,0.7017612837933401,-0.1736561820912333,0.9553689216097176,0.0,-0.5066954354168864,0.9553689216097176,-0.7496109526753278
Silicos-IT Solubility (mg/ml),-0.9205027710609036,-0.9163331051533107,-0.8824442602149596,-0.17071262744875473,-0.9963073529725869,-0.5079549637292806,-0.9172892411653676,-0.6507512346315415,-0.5173550313212135,-0.7711617801753935,-0.7728130826808596,-0.5439013830976626,-0.7238411508282221,-0.7871745222016169,0.8379043606086166,0.8096670784490465,0.8456982879141886,0.271890566338899,0.7395915647051062,0.795197054289107,0.8313818094141721,0.4305618750186111,0.9126577356689917,1.0,0.9995907900922303,0.29415821161453576,-0.15170639987600446,0.915249766806824,-0.27189056633889896,0.8906339298712276,0.0,-0.21132294512107755,0.8906339298712276,-0.7766053759384459
Silicos-IT Solubility (mol/l),-0.9106852833584114,-0.9054746097175805,-0.8687052552029503,-0.19025042262953518,-0.9936583565538982,-0.5177750804789197,-0.9064226517574622,-0.6450431277843681,-0.516180708575269,-0.7600369112771698,-0.7584058348305902,-0.5477526778275531,-0.7207541614123604,-0.7790071482616917,0.8257653968822792,0.7935770378013203,0.8308921772650989,0.2717152504385753,0.7304791335269303,0.7791642095442217,0.8163398896523362,0.42927502606223666,0.9018196243988353,0.9995907900922303,1.0,0.2858778041434416,-0.14189237532043086,0.9262189075514977,-0.27171525043857536,0.8776701979640639,0.0,-0.18395583645542957,0.8776701979640639,-0.7672086816145944
Silicos-IT class,-0.3590754824832932,-0.4742390997539202,-0.3975732839729454,-0.2548235957188127,-0.2927700218845599,-0.316227766016838,-0.4376567378141143,0.1035636483221367,-0.25618561232271636,-0.2619676838371086,-0.27937269293889283,0.49738207867813183,-0.06920180471433045,-0.18851817489958037,0.3051113111078354,0.3209101583141685,0.32359012612674065,-0.2,0.1169358170432575,0.28702502818451076,0.3004634430068802,-0.31622776601683794,0.5257262498926377,0.29415821161453576,0.2858778041434416,1.0000000000000002,0.03258521995904075,0.2,0.2,0.316227766016838,0.0,-0.20000000000000007,0.316227766016838,-0.072433972286091
log Kp (cm/s),0.44058079994892596,0.31724480571483443,0.27020455494031087,0.16856070322020617,0.20033948677096047,0.020608702625631668,0.3760411124392385,0.7727125846305748,0.7916023074416205,0.7200432422523853,0.4628557382416612,0.47001182868495955,0.5944064090280168,0.6699607069336277,-0.597769915964485,-0.48477596269370515,-0.44433284486643654,-0.9058691148613666,-0.7580004147038214,-0.5091116416473717,-0.464442641429872,-0.6594784840201664,-0.19402106988216192,-0.15170639987600446,-0.14189237532043086,0.03258521995904075,0.9999999999999999,0.04561930794265841,0.9058691148613666,-0.36065229594852943,0.0,0.501812387369246,-0.36065229594852943,0.6577305015532382
Ghose #violations,-0.7012275613356005,-0.6974104408145885,-0.6247580176717714,-0.4332001127219817,-0.87831006565368,-0.6324555320336759,-0.6908885358534667,-0.4696852116558664,-0.43847152878311046,-0.5291400236444908,-0.489809266840916,-0.49738207867813183,-0.5812951596003758,-0.577336910629965,0.5838187587544157,0.5092116960275792,0.5620200352328032,0.2,0.5175680945653747,0.4925066667841571,0.5425608737237603,0.31622776601683794,0.7017612837933401,0.915249766806824,0.9262189075514977,0.2,0.04561930794265841,1.0,-0.2,0.6324555320336759,0.0,0.20000000000000007,0.6324555320336759,-0.547278901717131
Egan #violations,0.42849597492876446,0.3068605939584189,0.22718473369882597,0.4077177531501005,0.2927700218845599,0.316227766016838,0.34755923283240736,0.7733891038868996,0.8769430575662209,0.678340161459003,0.3229112944358632,0.5838833097525895,0.5605346181860769,0.62446645435486,-0.5515473700795486,-0.3882282959891711,-0.36853677010389574,-1.0000000000000002,-0.7331367312016407,-0.4024898075663176,-0.3777285804697143,-0.6324555320336759,-0.1736561820912333,-0.27189056633889896,-0.27171525043857536,0.2,0.9058691148613666,-0.2,1.0000000000000002,-0.316227766016838,0.0,0.19999999999999998,-0.316227766016838,0.619712874003222
Muegge #violations,-0.9810448415405486,-0.970378401060708,-0.9878291611472619,0.1611645928050761,-0.9258200997725514,-0.25,-0.9830401537302488,-0.7426375260654017,-0.5063312741904266,-0.8942488234987751,-0.9408211702704258,-0.5128892073821633,-0.754981857765544,-0.875590631624092,0.9578886540171866,0.984670590172425,0.9939570362033155,0.316227766016838,0.8521098548347738,0.9777299320372805,0.9897813847651187,0.5,0.9553689216097176,0.8906339298712276,0.8776701979640639,0.316227766016838,-0.36065229594852943,0.6324555320336759,-0.316227766016838,0.9999999999999999,0.0,-0.6324555320336759,0.9999999999999999,-0.8907746259905136
Bioavailability Score,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brenk #alerts,0.5397069130752414,0.5300319350190872,0.6247580176717714,-0.6370589892970321,0.2927700218845599,-0.316227766016838,0.5525698310223952,0.4696852116558664,0.20199250202368013,0.6020052072283225,0.7002458407429394,0.15137715438030105,0.3736897454573846,0.53020736690507,-0.6278251978565073,-0.7363090279432503,-0.695247217068364,-0.19999999999999996,-0.5602750886159557,-0.7442347419196191,-0.7094245508735427,-0.316227766016838,-0.5066954354168864,-0.21132294512107755,-0.18395583645542957,-0.20000000000000007,0.501812387369246,0.20000000000000007,0.19999999999999998,-0.6324555320336759,0.0,1.0000000000000004,-0.6324555320336759,0.579471778288727
Leadlikeness #violations,-0.9810448415405486,-0.970378401060708,-0.9878291611472619,0.1611645928050761,-0.9258200997725514,-0.25,-0.9830401537302488,-0.7426375260654017,-0.5063312741904266,-0.8942488234987751,-0.9408211702704258,-0.5128892073821633,-0.754981857765544,-0.875590631624092,0.9578886540171866,0.984670590172425,0.9939570362033155,0.316227766016838,0.8521098548347738,0.9777299320372805,0.9897813847651187,0.5,0.9553689216097176,0.8906339298712276,0.8776701979640639,0.316227766016838,-0.36065229594852943,0.6324555320336759,-0.316227766016838,0.9999999999999999,0.0,-0.6324555320336759,1.0,-0.8907746259905136
Synthetic Accessibility,0.9152141065211595,0.8138722487321304,0.8125097022878323,-0.041017522822529996,0.8168427954607337,0.10180281439891586,0.8713777566105375,0.9628979156100336,0.6518579977953338,0.9571456399078588,0.9318911567955237,0.7747912863572031,0.9385093352886301,0.9875465152806113,-0.9531988537306687,-0.9122652840552222,-0.9097673318629393,-0.619712874003222,-0.9815934597104561,-0.9313190065068003,-0.9235042316479417,-0.8207851910912588,-0.7496109526753278,-0.7766053759384459,-0.7672086816145944,-0.072433972286091,0.6577305015532382,-0.547278901717131,0.619712874003222,-0.8907746259905136,0.0,0.579471778288727,-0.8907746259905136,1.0
