LogS,LogD,LogP,Pgp-inh,Pgp-sub,HIA,F(20),F(30),Caco-2,MDCK,BBB,PPB,VDss,Fu,CYP1A2-inh,CYP1A2-sub,CYP2C19-inh,CYP2C19-sub,CYP2C9-inh,CYP2C9-sub,CYP2D6-inh,CYP2D6-sub,CYP3A4-inh,CYP3A4-sub,CL,T12,hERG,H-HT,DILI,Ames,ROA,FDAMDD,SkinSen,Carcinogenicity,EC,EI,Respiratory,BCF,IGC50,LC50,LC50DM,NR-AR,NR-AR-LBD,NR-AhR,NR-Aromatase,NR-ER,NR-ER-LBD,NR-PPAR-gamma,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53,MW,Vol,Dense,nHA,nHD,TPSA,nRot,nRing,MaxRing,nHet,fChar,nRig,Flex,nStereo,NonBiodegradable,NonGenotoxic_Carcinogenicity,SureChEMBL,LD50_oral,Skin_Sensitization,Acute_Aquatic_Toxicity,Toxicophores,Genotoxic_Carcinogenicity_Mutagenicity,QED,Synth,Fsp3,MCE-18,Natural Product-likeness,Alarm_NMR,BMS,Chelating,PAINS,Lipinski,Pfizer,GSK,GoldenTriangle
-3.681,1.576,1.581,0.005,0.984,0.214,0.996,0.542,-5.379,1.01E-05,0.879,78.01,2.001,16.38,0.302,0.799,0.067,0.823,0.04,0.219,0.019,0.879,0.178,0.907,12.7,0.047,0.769,0.905,0.353,0.864,0.321,0.956,0.128,0.142,0.003,0.004,0.326,1.086,3.262,5.561,5.814,0.003,0.213,0.703,0.905,0.418,0.797,0.267,0.584,0.658,0.717,0.534,0.976,518.22,505.949,1.024,10,1,106.36,3,7,25,10,0,38,0.079,1,1,1,0,0,3,1,1,3,0.405,3.6,0.464,134.122,0.318,4,0,0,0,1,1,0,0
-5.145,2.826,3.706,0.242,0.999,0.041,0.31,0.996,-6.368,3.95E-06,0.031,96.01,1.59,6.28,0.022,0.128,0.349,0.085,0.918,0.121,0.309,0.069,0.95,0.616,10.708,0.41,0.733,0.987,0.972,0.905,0.655,0.952,0.031,0.021,0.003,0.003,0.03,1.037,5.138,7.409,7.274,0,0.031,0.88,0.984,0.344,0.539,0.933,0.888,0.553,0.965,0.919,0.985,895.32,865.783,1.034,18,6,237.48,17,8,21,19,0,47,0.362,8,2,2,2,0,6,1,5,4,0.072,5.371,0.4,165.952,0.669,4,0,0,0,0,1,0,0
-7.991,6.918,11.27,0.997,0.966,0.019,0.994,0.986,-5.396,1.26E-05,0.259,99.17,0.469,1.07,0.023,0.181,0.176,0.081,0.138,0.836,0,0.296,0.277,0.122,5.427,0.009,0.036,0.059,0.509,0.076,0.999,0.986,0.851,0.044,0.003,0.006,0.106,0.813,6.086,5.409,6.539,0.009,0.072,0.254,0.923,0.647,0.774,0.227,0.883,0.018,0.689,0.807,0.983,904.52,964.136,0.938,11,1,143.25,21,7,21,11,0,40,0.525,4,1,1,0,0,3,1,1,3,0.063,5.119,0.582,156.897,1.006,3,1,0,0,0,1,0,0
-5.973,2.839,4.224,0.172,0.959,0.004,0.001,0.005,-5.327,1.75E-05,0.13,98.06,0.434,1.43,0.854,0.76,0.884,0.094,0.854,0.317,0.562,0.689,0.826,0.258,4.172,0.064,0.506,0.959,0.21,0.848,0.945,0.954,0.04,0.41,0.003,0.009,0.043,1.815,5.011,6.546,5.978,0.006,0.506,0.802,0.964,0.861,0.772,0.878,0.935,0.72,0.925,0.96,0.984,487.13,475.934,1.024,7,2,93.45,4,6,21,8,0,33,0.121,1,2,2,0,0,4,2,1,4,0.366,3.292,0.222,108.182,0.277,2,0,0,0,1,1,0,1
-4.094,1.84,2.723,0.043,0.99,0.006,0.004,0.004,-5.542,2.25E-05,0.695,91.29,1.026,6.9,0.872,0.893,0.696,0.069,0.581,0.362,0.772,0.448,0.787,0.504,7.28,0.13,0.714,0.957,0.326,0.639,0.882,0.971,0.042,0.083,0.003,0.008,0.421,1.122,4.085,6.209,5.801,0.006,0.127,0.583,0.967,0.617,0.713,0.772,0.854,0.605,0.887,0.905,0.967,454.16,454.424,0.999,8,2,109.57,3,6,21,8,0,34,0.088,1,1,1,0,0,2,1,1,3,0.407,3.894,0.231,105.188,0.65,1,0,0,0,1,1,0,1
-4.252,1.577,2.577,0.052,0.989,0.006,0.004,0.006,-5.014,1.48E-05,0.101,92.2,0.948,4.91,0.956,0.913,0.506,0.092,0.725,0.498,0.144,0.31,0.793,0.236,9.943,0.349,0.285,0.809,0.21,0.841,0.868,0.961,0.058,0.209,0.003,0.013,0.066,1.322,4.74,6.049,5.689,0.008,0.652,0.621,0.966,0.917,0.842,0.883,0.929,0.661,0.942,0.972,0.983,392.14,388.502,1.009,7,2,101.65,2,5,21,7,0,27,0.074,1,1,1,0,0,2,1,2,3,0.508,3.403,0.318,96.207,1.196,4,0,0,0,1,1,1,1
-4.104,1.91,2.99,0.024,0.973,0.315,0.758,0.116,-5.51,2.28E-05,0.392,90.41,1.999,9.43,0.231,0.498,0.5,0.706,0.683,0.282,0.1,0.607,0.826,0.904,9.898,0.025,0.864,0.989,0.685,0.878,0.513,0.948,0.051,0.324,0.003,0.005,0.299,1.153,4.526,6.711,5.768,0.002,0.126,0.282,0.966,0.548,0.874,0.639,0.668,0.205,0.897,0.478,0.969,566.22,550.311,1.029,10,1,122.04,7,6,21,11,0,35,0.2,1,1,1,0,0,2,1,1,3,0.338,3.536,0.483,123.047,-0.06,2,0,0,0,1,1,0,0
-7.455,3.5,4.767,0.052,0.006,0.004,0.052,0.099,-5.025,2.86E-05,0.093,96.79,0.407,1.72,0.753,0.526,0.901,0.111,0.937,0.24,0.051,0.142,0.859,0.708,4.015,0.046,0.166,0.89,0.834,0.931,0.939,0.955,0.032,0.736,0.003,0.012,0.041,1.815,5.135,6.912,6.483,0.003,0.05,0.754,0.942,0.65,0.744,0.463,0.89,0.635,0.947,0.934,0.982,481.16,484.173,0.994,8,1,103.01,5,6,21,8,0,34,0.147,1,1,1,1,0,2,1,2,3,0.234,3.42,0.214,104.824,0.557,1,0,0,0,1,1,0,1
-4.632,2.432,3.31,0.048,0.576,0.046,0.969,0.277,-5.502,2.54E-05,0.255,83.44,1.259,2.56,0.14,0.743,0.9,0.771,0.877,0.724,0.207,0.875,0.959,0.923,10.917,0.035,0.869,0.984,0.903,0.884,0.388,0.969,0.023,0.063,0.003,0.005,0.474,1.049,4.518,6.781,6.142,0.007,0.144,0.28,0.905,0.655,0.719,0.218,0.625,0.235,0.207,0.572,0.925,646.21,620.609,1.041,12,1,140.5,7,7,21,13,0,41,0.171,1,1,1,0,0,2,1,1,3,0.263,3.6,0.364,142.378,-0.103,3,0,0,0,0,1,0,0
-4.108,1.939,2.857,0.08,0.421,0.828,0.138,0.315,-5.579,3.06E-05,0.332,95.02,1.573,4.6,0.168,0.184,0.839,0.428,0.903,0.389,0.278,0.671,0.913,0.921,10.795,0.02,0.785,0.977,0.916,0.903,0.684,0.95,0.1,0.247,0.003,0.005,0.403,1.231,4.957,7.102,6.01,0.003,0.088,0.313,0.951,0.626,0.85,0.391,0.683,0.089,0.868,0.578,0.961,600.2,585.733,1.025,10,1,122.04,6,7,21,11,0,41,0.146,1,1,1,0,0,2,1,1,3,0.296,3.486,0.344,136.349,-0.126,2,0,0,0,1,1,0,0
-4.011,1.674,2.498,0.017,0.996,0.005,0.005,0.006,-5.328,1.82E-05,0.764,70.08,2.184,25.15,0.804,0.684,0.121,0.674,0.06,0.13,0.119,0.563,0.264,0.735,7.021,0.066,0.835,0.931,0.106,0.806,0.498,0.954,0.037,0.08,0.003,0.006,0.175,1.469,3.467,5.56,5.303,0.004,0.037,0.451,0.961,0.473,0.733,0.129,0.366,0.508,0.759,0.567,0.941,433.2,442.597,0.979,7,2,93.45,5,5,21,7,0,27,0.185,1,1,1,0,0,2,1,1,3,0.47,3.391,0.4,95.143,0.737,1,0,0,0,1,1,0,1
-4.675,1.733,2.778,0.053,0.06,0.007,0.017,0.006,-4.878,1.66E-05,0.066,94.99,0.759,3.79,0.887,0.748,0.527,0.095,0.708,0.406,0.143,0.388,0.701,0.28,10.022,0.342,0.129,0.432,0.201,0.902,0.819,0.963,0.063,0.885,0.003,0.028,0.051,1.392,4.965,6.507,6.037,0.021,0.745,0.687,0.95,0.881,0.821,0.939,0.936,0.543,0.937,0.957,0.982,404.14,403.162,1.002,7,2,101.65,3,5,21,7,0,28,0.107,1,1,1,0,0,2,1,3,3,0.402,3.556,0.261,96.207,1.266,4,0,0,0,1,1,0,1
